Date,Close/Last,Volume,Open,High,Low
10/30/2023,$132.71,72485540,$129.72,$133.00,$128.56
10/27/2023,$127.74,125309300,$126.20,$130.02,$125.52
10/26/2023,$119.57,100419500,$120.63,$121.6393,$118.35
10/25/2023,$121.39,74577540,$126.04,$126.34,$120.79
10/24/2023,$128.56,46477360,$127.74,$128.80,$126.34
10/23/2023,$126.56,48259950,$124.63,$127.88,$123.98
10/20/2023,$125.17,56406410,$128.05,$128.17,$124.97
10/19/2023,$128.40,60961360,$130.565,$132.24,$127.47
10/18/2023,$128.13,42699480,$129.90,$130.6699,$127.51
10/17/2023,$131.47,49344550,$130.39,$132.58,$128.71
10/16/2023,$132.55,42832920,$130.69,$133.07,$130.425
10/13/2023,$129.79,45824690,$132.98,$133.3145,$128.95
10/12/2023,$132.33,55528580,$132.17,$134.48,$131.23
10/11/2023,$131.83,40741840,$129.74,$132.05,$129.61
10/10/2023,$129.48,42178620,$128.82,$130.74,$128.05
10/09/2023,$128.26,38773740,$126.22,$128.79,$124.76
10/06/2023,$127.96,46836700,$124.16,$128.45,$124.13
10/05/2023,$125.96,39660640,$126.71,$126.73,$124.33
10/04/2023,$127.00,44203870,$126.06,$127.36,$125.68
10/03/2023,$124.72,51564990,$128.06,$128.52,$124.2544
10/02/2023,$129.46,48029740,$127.28,$130.47,$126.54
