Date,Close/Last,Volume,Open,High,Low
10/30/2023,$337.31,22828080,$333.41,$339.45,$331.83
10/27/2023,$329.81,29856520,$330.425,$336.72,$328.4007
10/26/2023,$327.89,37828540,$340.54,$341.63,$326.94
10/25/2023,$340.67,55053830,$345.02,$346.20,$337.62
10/24/2023,$330.53,31153570,$331.30,$331.84,$327.60
10/23/2023,$329.32,24374750,$325.47,$332.725,$324.39
10/20/2023,$326.67,25027720,$331.72,$331.92,$325.45
10/19/2023,$331.32,25052070,$332.15,$336.88,$330.91
10/18/2023,$330.11,23153600,$332.49,$335.59,$328.30
10/17/2023,$332.06,18338520,$329.59,$333.46,$327.41
10/16/2023,$332.64,22158050,$331.05,$336.14,$330.60
10/13/2023,$327.73,21085700,$332.38,$333.83,$326.36
10/12/2023,$331.16,19313100,$330.565,$333.6299,$328.72
10/11/2023,$332.42,20063250,$331.21,$332.82,$329.14
10/10/2023,$328.39,20557090,$330.96,$331.10,$327.67
10/09/2023,$329.82,19891180,$324.75,$330.30,$323.18
10/06/2023,$327.26,25673630,$316.55,$329.19,$316.30
10/05/2023,$319.36,16965630,$319.09,$319.98,$314.90
10/04/2023,$318.955,20720140,$314.03,$320.04,$314.00
10/03/2023,$313.39,21033490,$320.83,$321.39,$311.215
10/02/2023,$321.80,20570010,$316.28,$321.888,$315.18
