Date,Close/Last,Volume,Open,High,Low
10/30/2023,$197.36,136448200,$209.28,$210.88,$194.67
10/27/2023,$207.30,94881170,$210.60,$212.41,$205.77
10/26/2023,$205.76,115112600,$211.32,$214.80,$204.88
10/25/2023,$212.42,107065100,$215.88,$220.10,$212.20
10/24/2023,$216.52,118231100,$216.50,$222.05,$214.11
10/23/2023,$212.08,150683400,$210.00,$216.98,$202.51
10/20/2023,$211.99,138010100,$217.01,$218.8606,$210.42
10/19/2023,$220.11,170772700,$225.95,$230.61,$216.78
10/18/2023,$242.68,125147800,$252.70,$254.63,$242.08
10/17/2023,$254.85,93562910,$250.10,$257.183,$247.08
10/16/2023,$253.92,88917180,$250.05,$255.3999,$248.48
10/13/2023,$251.12,102296800,$258.90,$259.60,$250.22
10/12/2023,$258.87,111508100,$262.92,$265.41,$256.6307
10/11/2023,$262.99,103706300,$266.20,$268.60,$260.90
10/10/2023,$263.62,122656000,$257.75,$268.94,$257.65
10/09/2023,$259.67,101377900,$255.31,$261.36,$252.05
10/06/2023,$260.53,118121800,$253.98,$261.65,$250.65
10/05/2023,$260.05,119159200,$260.00,$263.60,$256.25
10/04/2023,$261.16,129721600,$248.14,$261.86,$247.60
10/03/2023,$246.53,101985300,$248.61,$250.02,$244.45
10/02/2023,$251.60,123810400,$244.81,$254.2799,$242.62
